"id","date","country","state","city","lat","lng","deaths","confirmed","tests","deaths_new","confirmed_new","tests_new","pop","pop_14","pop_15_64","pop_65","pop_age","pop_density","pop_death_rate"
"Tunisia|NA|NA",2020-03-24,"Tunisia",NA,NA,4,4,4,114,0,1,25,0,11565204,0.241701203463736,0.675142005746377,0.0831567907898877,32.7,74.4413233779609,0.006274
"Turkey|NA|NA",2020-03-24,"Turkey",NA,NA,44,44,44,1872,0,7,343,0,82319724,0.246494101390807,0.668673769209477,0.084832129399716,32.2,106.960128893104,0.005394
"Ukraine|NA|NA",2020-03-24,"Ukraine",NA,NA,3,3,3,97,0,0,24,0,44622516,0.158124131732483,0.677529003875501,0.164346864392016,41.2,77.0296673514129,0.0145
"United Arab Emirates|NA|NA",2020-03-24,"United Arab Emirates",NA,NA,2,2,2,248,0,0,50,0,9630959,0.146035093701468,0.843114896450084,0.0108500098484481,38.4,135.609110109828,0.001429
"United Kingdom|NA|NA",2020-03-24,"United Kingdom",NA,NA,60.4285714285714,60.4285714285714,423,8164,0,87,1438,0,66488991,0.176780820689573,0.63926052256896,0.183958656741466,40.6,274.82739222089,0.0092
"US|NA|NA",2020-03-24,"US",NA,NA,706,706,706,53740,0,149,9893,0,327200000,0.187090399824651,0.654833059619314,0.158076540556035,38.5,35.766088580168,0.0085
"Zimbabwe|NA|NA",2020-03-24,"Zimbabwe",NA,NA,1,1,1,3,0,0,0,0,14439018,0.424010662380439,0.54659410108955,0.0293952365300113,20.5,37.3245909267158,0.008044
"Afghanistan|NA|NA",2020-03-25,"Afghanistan",NA,NA,2,2,2,84,0,1,10,0,37172386,0.430901755117794,0.543248975483403,0.0258492693988024,19.5,56.937760009803,0.006575
"Albania|NA|NA",2020-03-25,"Albania",NA,NA,5,5,5,146,0,0,23,0,2866376,0.17672873724304,0.685823903647225,0.137447359109736,34.3,104.612262773723,0.007714
"Algeria|NA|NA",2020-03-25,"Algeria",NA,NA,21,21,21,302,0,2,38,0,42228429,0.301486785862257,0.634888248687945,0.0636249654497986,28.9,17.7300750711665,0.004717
"Andorra|NA|NA",2020-03-25,"Andorra",NA,NA,1,1,1,188,0,0,24,0,77006,0.156,0.714,0.13,46.2,163.842553191489,0.0043
"Argentina|NA|NA",2020-03-25,"Argentina",NA,NA,8,8,8,387,0,2,0,0,44494502,0.247609338351238,0.641212772887989,0.111177888760774,32.4,16.2585100979651,0.007616
"Australia|NA|NA",2020-03-25,"Australia",NA,NA,1,1,8,2364,0,0,320,0,24992369,0.191906170385658,0.651529077338752,0.156564752275591,37.5,3.24912948744283,0.0065
"Austria|NA|NA",2020-03-25,"Austria",NA,NA,30,30,30,5588,0,2,305,0,8847037,0.142979476320233,0.667004859083869,0.190015664595899,44.5,107.206926667578,0.0095
"Azerbaijan|NA|NA",2020-03-25,"Azerbaijan",NA,NA,2,2,2,93,0,1,6,0,9942334,0.233695698603865,0.704352473888986,0.0619518275071493,32.6,120.265319946776,0.0058
"Bahrain|NA|NA",2020-03-25,"Bahrain",NA,NA,4,4,4,419,0,1,27,0,1569439,0.192543101196218,0.783193560020542,0.0242633387832394,32.9,2017.27369979138,0.002368
"Bangladesh|NA|NA",2020-03-25,"Bangladesh",NA,NA,5,5,5,39,0,1,0,0,161356039,0.27706022482501,0.671355868778783,0.0515839063962068,27.9,1239.57931166936,0.005533
"Belgium|NA|NA",2020-03-25,"Belgium",NA,NA,178,178,178,4937,0,56,668,0,11422068,0.170554227603857,0.641558335012748,0.187887437383395,41.6,377.214927344782,0.0096
"Bosnia and Herzegovina|NA|NA",2020-03-25,"Bosnia and Herzegovina",NA,NA,3,3,3,176,0,0,10,0,3323929,0.147662176493152,0.687634648796227,0.164703174710621,43.3,64.92048828125,0.010563
"Brazil|NA|NA",2020-03-25,"Brazil",NA,NA,59,59,59,2554,0,13,307,0,209469333,0.213340719108545,0.697430902567055,0.0892283783244003,33.2,25.0617162430876,0.006378
